Title,Authors
DOMINANT IDEAS OF FINANCIAL TECHNOLOGIES IN DIGITAL BANKING,"Melnychenko, S; Volosovych, S; Baraniuk, Y"
Financial Markets: From the Tragedy of Commons to Balanced Regulation,"Podrugina, AV; Tabakh, AV"
THE INFLUENCE OF FINANCIAL INNOVATIONS ON EU COUNTRIES BANKING SYSTEMS DEVELOPMENT,"Druhov, O; Druhova, V; Pakhnenko, O"
Self-regulation of the credit services market for individuals,"Volosovich S., Krivosheeva V."
Banking business models of the digital future: The case of Latvia,"Japparova I., Rupeika-Apoga R."
Digitalization as a vector of technological changes of Ukraine,"Novak I.M., Ermakov O.Y., Demianyshyna O.A., Revytska A.A."
FinTech banking industry: a systemic approach,Wonglimpiyarat J.
Contemporary challenges and risks of retail banking development in Ukraine,"Sloboda L., Dunas N., Limański A."
Fintech as a Precondition of Transformations in Global Financial Markets,"Belozyorov, S; Sokolovska, E; Kim, YS"
Banking and fintech: A challenge or opportunity?,"Romanova I., Kudinska M."
Digital transformation of the financial industry: The substance and trends,"Kotliarov, ID"
Digital innovatization tendencies of the payment services market in Russia and the Volgograd region,"Korobeynikova, OM; Korobeynikov, DA; Popova, LV; Dugina, TA; Popova, SA"
Digital technologies in lending small and medium-size enterprises in Russia,"Semenyuta O.G., Andreeva A.V., Sichev R.A., Filippov Yu.M."
FinTech sector and banking business: Competition or symbiosis?,"Zveryakov M., Kovalenko V., Sheludko S., Sharah E."
An extensive formal security analysis of the openid financial-grade API,"Fett D., Hosseyni P., Kusters R."
Agent-based modeling from the perspectives of FinTech,"Cui Y., Xiong X., Wei L., He S."
DIGITALIZATION CHALLENGES TO GLOBAL BANKING INDUSTRY,"Murshudli, F; Loguinov, B"
FinTech sector and banking business: competition or symbiosis?,"Zveryakov, M; Kovalenko, V; Sheludko, S; Sharah, E"
Analysis of the Application of Big Data Technologies in the Financial Sphere,Bataev A.V.
The influence of financial technologies on the global financial system stability,"Azarenkova G., Shkodina I., Samorodov B., Babenko M., Onishchenko I."
Financial Technologies in the Context of Development of the Russian Economy,"Dudina E.V., Baranovskaia I.A., Derepasko S.V., Rudnikova N.P., Dolzhikova H.V."
The transformation of traditional banking activity in digital,"Galazova S.S., Magomaeva L.R."
"FinTech, RegTech and Traditional Financial Intermediation: Trends and Threats for Financial Stability","Pantielieieva N., Khutorna M., Lytvynenko O., Potapenko L."
Role of Big Data Analytics in Banking,"Gupta T., Gupta N., Agrawal A., Agrawal A., Kansal K."
Financial Technologies Ensuring Information Transition,"Yakushkin T.A., Romadikova V.M., Gorbatkova G.A., Havrel V.T., Mamengaev Y.N."
Designing model for quality servicesin digital banking,"Moghni H., Nassehifar V., Nategh T."
Paradigm Changes that Strengthen the Financial Security of the State through FINTECH Development,"Sirenko N., Atamanyuk I., Volosyuk Y., Poltorak A., Melnyk O., Fenenko P."
