Title,Authors
Data security and consumer trust in FinTech innovation in Germany,"Stewart H., Jürjens J."
Financial technology efficiency and credit constraints facing the industrial sector: Evidence from China,"Li Z., Wang R., Xu Y., Gao Y."
Development of a consumer financial goals ontology for use with FinTech applications for improving financial capability,"Bunnell L., Osei-Bryson K.-M., Yoon V.Y."
Financial Technology Efficiency and Credit Constraints Facing the Industrial Sector: Evidence From China,"Li, ZW; Wang, R; Xu, YJ; Gao, Y"
Digital financial innovations in the twenty-first century Do transaction tax exemptions promote mobile money services for financial inclusion in developing countries?,"Bongomin, GOC; Yourougou, P; Munene, JC"
Artificial intelligence in smart tourism: A conceptual framework,"Tsaih R.-H., Hsu C.C."
"Mobile payment in Fintech environment: trends, security challenges, and services",Kang J.
Research on Financial Technology Innovation and Application Based on 5G Network,"Tian M.-W., Wang L., Yan S.-R., Tian X.-X., Liu Z.-Q., Rodrigues J.J.P.C."
The Global Findex Database 2017: Measuring Financial Inclusion and Opportunities to Expand Access to and Use of Financial Services,"Demirgüç-Kunt A., Klapper L., Singer D., Ansar S., Hess J."
Mobile money adoption and usage and financial inclusion: mediating effect of digital consumer protection,"Okello Candiya Bongomin G., Ntayi J.M."
Emergence and growth of mobile money in modern india: A study on the effect of mobile money,"Jakhiya M., Mittal Bishnoi M., Purohit H."
Trust: mediator between mobile money adoption and usage and financial inclusion,"Okello Candiya Bongomin G., Ntayi J."
Fintech Integration Process Suggestion for Banks,"Acar O., Çitak Y.E."
Financial literacy and financial well-being among generation-Z university students: Evidence from Greece,"Philippas N.D., Avdoulas C."
A study on service architecture for secure authentication system,"Kim S.J., Chul Ma M., Lee H.-K., Kim J.-B."
Adoption of financial technology (Fintech) in mutual fund/ unit trust investment among Malaysians: Unified Theory of Acceptance and Use of Technology (UTAUT),"Abdullah E.M.E., Rahman A.A., Rahim R.A."
"Awareness, trust, and adoption of blockchain technology and cryptocurrency among blockchain communities in Malaysia","Ku-Mahamud K.R., Omar M., Abu Bakar N.A., Muraina I.D."
FinPathlight: Framework for an multiagent recommender system designed to increase consumer financial capability,"Bunnell L., Osei-Bryson K.-M., Yoon V.Y."
