Title,Authors
Acceptance of financial technology in Thailand: Case study of algorithm trading,"Jantarakolica K., Jantarakolica T."
Can fintech development curb agricultural nonpoint source pollution?,"Jiang S., Qiu S., Zhou H., Chen M."
An Empirical Study on the Influence of Internet Attention on the Performance of Individual Stocks in the Securities Market under the Environment of Big Data,"Chen Y., Zhao P., Liu Y."
Can FinTech Development Curb Agricultural Nonpoint Source Pollution?,"Jiang, S; Qiu, S; Zhou, H; Chen, ML"
Governing Artificial Intelligence to benefit the UN Sustainable Development Goals,Truby J.
Exploring the Linear and Nonlinear Causality Between Internet Big Data and Stock Markets,"Dong J., Dai W., Li J."
Prediction of the Profitability of Pairs Trading Strategy Using Machine Learning,"Jirapongpan R., Phumchusri N."
FinBrain: when finance meets AI 2.0,"Zheng X.-L., Zhu M.-Y., Li Q.-B., Chen C.-C., Tan Y.-C."
DeepBonds: A deep learning approach to predicting united states treasury yield,"Ying J.-C., Wang Y.-B., Chang C.-K., Chang C.-W., Chen Y.-H., Liou Y.-S."
A Survey on Stock Market Prediction Using Machine Learning Techniques,"Rao P.S., Srinivas K., Mohan A.K."
Multivariate portfolio optimization under illiquid market prospects: a review of theoretical algorithms and practical techniques for liquidity risk management,Al Janabi M.A.M.
Evaluation of tree-based ensemble machine learning models in predicting stock price direction of movement,"Ampomah E.K., Qin Z., Nyame G."
Prediction-Based Portfolio Optimization Models Using Deep Neural Networks,"Ma Y., Han R., Wang W."
The random neural network with a genetic algorithm and deep learning clusters in fintech: Smart investment,Serrano W.
BitExTract: Interactive Visualization for Extracting Bitcoin Exchange Intelligence,"Yue X., Shu X., Zhu X., Du X., Yu Z., Papadopoulos D., Liu S."
Fintech bitcoin smart investment based on the random neural network with a genetic algorithm,Serrano W.
Fintech Model: The Random Neural Network with Genetic Algorithm,Serrano W.
Correlation-based dynamics and systemic risk measures in the cryptocurrency market,"Liang J., Li L., Zeng D., Zhao Y."
Data and replication supplement for double auction markets with snipers,"Brewer P., Ratan A."
Risk mitigation based on innovative solutions,Pokrovskaya M.
Fintech Bitcoin Smart Investment Based on the Random Neural Network with a Genetic Algorithm,"Serrano, W"
Climate change commitments and agriculture sectoral strategies in Cameroon: Interplay and perspectives,"Chia, EL; Kankeu, SR; Hubert, D"
Using Big Data Technology to Analyze the Fluctuation Trends in Stock Price-As a Practice of Taiwan Financial Stock Market,"Yang S.-J., Chen C.-H."
Confining value from neural networks: A sectoral study prediction of takeover targets in the US technology sector,"Anagnostopoulos I., Rizeq A."
FinTech Accelerators: Infrastructural institutions within the Fintech ecosystem,"Vershinina A.A., Zhdanova O.A., Pashkovskaya M.V., Nazarova E.V."
Neural networks theory and application of deep learning in future deep space autonomous exploration mission,"Jie Z., Wei Z."
The implementation of system enterprise risk management using framework ISO 31000,"Suyasa G.W.A., Legowo N."
The role of computer security management in preventing financial technology risks,"Chen C., Zhou S., Chang Q."
Prediction of Stock Price Based on LSTM Neural Network,Wei D.
Forecasting significant stock price changes using neural networks,Kamalov F.
Predicting next day direction of stock price movement using machine learning methods with persistent homology: Evidence from Kuala Lumpur Stock Exchange,"Ismail M.S., Md Noorani M.S., Ismail M., Abdul Razak F., Alias M.A."
