Title,Authors
Blockchain-Enabled Secure Energy Trading with Verifiable Fairness in Industrial Internet of Things,"Li M., Hu D., Lal C., Conti M., Zhang Z."
A Study of Emerging Areas in Adoption of Blockchain Technology and it's Prospective Challenges in India,"Sumaiya, Bharti A.K."
Literature Review: Technologies and Property Development,"Maududy C.F., Gamal A."
"IoT cyber risk: a holistic analysis of cyber risk assessment frameworks, risk vectors, and risk ranking process","Kandasamy K., Srinivas S., Achuthan K., Rangan V.P."
Literature review: The impact of property technology (PropTech) in property development,"Maududy C.F., Gamal A."
Blockchain for energy sharing and trading in distributed prosumer communities,"Petri I., Barati M., Rezgui Y., Rana O.F."
Literature Review: The Impact of Property Technology (PropTech) in Property Development,"Maududy, CF; Gamal, A"
A machine learning-based FinTech cyber threat attribution framework using high-level indicators of compromise,"Noor U., Anwar Z., Amjad T., Choo K.-K.R."
Supply chain finance review: Current situation and future trend,"Li J., Wang Y., Feng G., Wang S., Song Y."
A Payment Mediation Platform for heterogeneous FinTech schemes,"Moon W.Y., Kim S.D."
Lightweight Backup and Efficient Recovery Scheme for Health Blockchain Keys,"Zhao H., Zhang Y., Peng Y., Xu R."
Integration of IoT with blockchain and homomorphic encryption: Challenging issues and opportunities,"Shrestha R., Kim S."
Supply Chain Finance Innovation Using Blockchain,"Du M., Chen Q., Xiao J., Yang H., Ma X."
Decoding the Current Global Climate Finance Architecture,"Marke A., Sylvester B."
SuPoolVisor: a visual analytics system for mining pool surveillance,"Xia J.-Z., Zhang Y.-H., Ye H., Wang Y., Jiang G., Zhao Y., Xie C., Kui X.-Y., Liao S.-H., Wang W.-P."
Blockchain-Based Distributed Energy Trading Scheme,"He T., Gui X., Zhang Z., Zhou D., Hu Z., Chen J., Li W."
Consortium Blockchain-Based Decentralized Stock Exchange Platform,"Al-Shaibani H., Lasla N., Abdallah M."
Credit Consensus Mechanism for Microgrid Blockchain [适用于微电网区块链的信用共识机制],"Qin J., Sun W., Li Z., Zhu Y."
"The machine in the market: Computers and the infrastructure of price at the New York Stock Exchange, 1965–1975",Kennedy D.
Digital Art as ‘Monetised Graphics’: Enforcing Intellectual Property on the Blockchain,Zeilinger M.
Case study of Lykke exchange: architecture and outlook,"Olsen R., Battiston S., Caldarelli G., Golub A., Nikulin M., Ivliev S."
Current State of E-Commerce in Mongolia: Payment and Delivery,"Delger O., Tseveenbayar M., Namsrai E., Tsendsuren G."
"PAChain: Private, Authenticated and Auditable Consortium Blockchain",Yuen T.H.
Blockchain-based data sharing and trading model for the connected car,"Jeong B.-G., Youn T.-Y., Jho N.-S., Shin S.U."
"PAChain: Private, authenticated & auditable consortium blockchain and its implementation",Yuen T.H.
Application and Development Trend of Blockchain in the Financial Field,Zhao D.
From digital currencies to digital finance: the case for a smart financial contract standard,"Brammertz W., Mendelowitz A.I."
Towards secure e-voting using ethereum blockchain,"Koç A.K., Yavuz E., Çabuk U.C., Dalkiliç G."
Small foreign currency remittance based on block chain in Korea and Vietnam,"Kim J.-H., Jo S.-I., Hong S.-W., Gim G.-Y."
Using text mining to analyze the financial patents,"Lu Y.-F., Xu J.-L., Chen M.-Y."
Blockchain disruption and decentralized finance: The rise of decentralized business models,"Chen Y., Bellavitis C."
The Consensus Games for Consensus Economics Under the Framework of Blockchain in Fintech,"Di L., Yang Z., Yuan G.X."
Unblocking the Potential of Blockchain,"Yeasmin S., Baig A."
Blockchain use Cases in Financial Services for Improving Security,"Ahmed K.B., Kumar D."
Transforming the Know Your Customer (KYC) Process using Blockchain,"Yadav P., Chandak R."
"The good, the bad and the ugly: An overview of the sustainability of blockchain technology",Schinckus C.
Implementing a blockchain-based local energy market: Insights on communication and scalability,"Meeuw A., Schopfer S., Wörner A., Tiefenbeck V., Ableitner L., Fleisch E., Wortmann F."
The Innovation Research of Contract Farming Financing Mode under the Block Chain Technology,Zhang D.
Distributed Energy Trading Model based on Graphene Blockchain,"Chen J., Gui X., Chen L., He T."
Accepting financial transactions using blockchain technology and cryptocurrency: A customer perspective approach,"Albayati H., Kim S.K., Rho J.J."
An Accountable Data Trading Platform Based on Blockchain,"He Y., Zhu H., Wang C., Xiao K., Zhou Y., Xin Y."
ElectroBlocks: A blockchain-based energy trading scheme for smart grid systems,"Tanwar S., Kaneriya S., Kumar N., Zeadally S."
Leverage from Blockchain in Commodity Exchange: Asset-Backed Token with Ethereum Blockchain Network and Smart Contract,"Richard, Heryadi Y., Lukas, Trisetyarso A."
Using Text Mining to Analyze the Financial Patents,"Lu, YF; Xu, JL; Chen, MY"
Proposed classification of blockchains based on authority and incentive dimensions,"Okada H., Yamasaki S., Bracamonte V."
An Automation Method of SLA Contract of Web APIs and Its Platform Based on Blockchain Concept,"Nakashima H., Aoyama M."
The quest for fully smart autonomous business networks in iot platforms,"Ali A.A., El-Dessouky I.A., Abdallah M.M., Nabih A.K."
Integrating innovation diffusion theory and the technology acceptance model: The adoption of blockchain technology from business managers' perspective,"Lou A.T.F., Li E.Y."
Practical deployability of permissioned blockchains,"Emmadi N., Vigneswaran R., Kanchanapalli S., Maddali L., Narumanchi H."
Proposal of Secure Business Architecture by Visible Light Communication System,"Tanimoto S., Nakamura C., Iwashita M., Matsui S., Hatashima T., Fuji H., Ohkubo K., Egawa J., Kinouchi Y."
Blockchained Sukuk-Financing,"Shaikh S., Zaka F."
Data protection on fintech platforms,"Hernández E., Öztürk M., Sittón I., Rodríguez S."
Blockchain technology: Is it hype or real in the construction industry?,"Perera S., Nanayakkara S., Rodrigo M.N.N., Senaratne S., Weinand R."
Perspectives on risks and standards of nutbaas: A blockchain-as-a-service platform for intelligent devices,Kulkarni R.B.
The analysis of value chain of beef cattle partnership business based on financial technology,"Yuzaria D., Basyar B., Khairati R."
Crypto-Trading. Rechargeable Token-Based Smart Energy Market Enabled by Blockchain and IoT Technology,"Marchesi M., Pinna A., Pisu F., Tonelli R."
