Title,Authors
Peer-to-peer lending in the modern financial system,"Zhdanova O.A., Bondarenko T.G., Maksimova T.P."
Determinants of price reversal in high-frequency trading: Empirical evidence from Indonesia,Santosa P.W.
FinTechs in China – with a special focus on peer to peer lending,"Stern C., Makinen M., Qian Z."
The effect of supply chain finance initiatives on the market value of service providers,"Lam H.K.S., Zhan Y., Zhang M., Wang Y., Lyons A."
Factors influencing the continuance intention to use e-wallet among mainland Chinese students in Malaysia,"Cui Y., Mohamad Hsbollah H."
Do consumers really trust cryptocurrencies?,"Arli D., van Esch P., Bakpayev M., Laurence A."
An empirical study on factors affecting customers’ acceptance of internet-only banks in Korea,"Yoon C., Lim D."
An empirical study on factors affecting customers' acceptance of internet-only banks in Korea,"Yoon, C; Lim, D"
Success Factors in a Reward and Equity Based Crowdfunding Campaign,"Ferreira F., Pereira L."
Exploring advertising as an antecedent to brand experience dimensions: an experimental study,Bapat D.
Fintech platforms in sme’s financing: eu experience and ways of their application in Ukraine,"Sybirianska Y., Dyba M., Britchenko I., Ivashchenko A., Vasylyshen Y., Polishchuk Y."
The effect of mobile payment service quality on usage intention - Focusing on the adjustment effect of user satisfaction,"Hyun Soon J., You Y.Y., Jeon J.-S."
What determines customers’ continuance intention of FinTech? Evidence from YuEbao,"Wang Z., GUAN Z., Hou F., Li B., Zhou W."
Intellectual capital efficiency and bank’s performance: A comparative study after the global financial crisis,"Buallay A., Cummings R., Hamdan A."
Exploring the Drivers of Mobile Based Peer to Peer Lending Application Service Quality in Indonesia,"Ghazali R., Haryanto J.O., Utomo W.H., Santoso A.S., Nugraha R., Asgha B."
Opportunities and threats of development of financial technologies (Fintech) against competitiveness of banks (at national conventional commercial banks),"Mulyani S.R., Kadarisman S., Paramarta V."
The competitive structure and strategic positioning of commercial banks in Saudi Arabia,Rabbani M.R.
Intellectual capital efficiency and bank's performance A comparative study after the global financial crisis,"Buallay, A; Cummings, R; Hamdan, A"
REGULATORY CONDITIONS FOR PEER-TO-PEER LENDING FOR SMALL AND MEDIUM BUSINESSES,"van der Krogt, A; Lopez, C"
The Moderating Role of Knowledge about Riba on Intention to Use E-Money: Findings from Indonesia,"Aji H.M., Berakon I., Muafi, Kholid M.N."
The impact of cryptocurrencies market development on banks’ deposits variability in the GCC region,"Othman A.H.A., Alhabshi S.M., Kassim S., Sharofiddin A."
Equity crowdfunding and regulation: implications for the real estate sector in Italy,"Battisti E., Creta F., Miglietta N."
Cryptocurrency in the gcc economy,"Abdeldayem M.M., Aldulaimi S.H."
Understanding fintech continuance: perspectives from self-efficacy and ECT-IS theories,"Shiau W.-L., Yuan Y., Pu X., Ray S., Chen C.C."
Financial technology application success in the 4.0 era,"Riantama I.G.E., Suardhika I.N., Yuesti A."
Fintech development and bank risk taking in China,"Wang R., Liu J., Luo H."
The Moderating Role of Knowledge about Riba on Intention to Use E-Money : Findings from Indonesia,"Aji, HM; Berakon, I; Muafi; Kholid, MN"
Crowd investing as a perspective instrument of financing small and middle-sized businesses in the Russian Federation,"Gruzina Y.M., Zeinalov A.A., Ilienkova N.D., Ilienkov D.A."
Effective matching for P2P lending by mining strong association rules,"Hsueh S.-C., Kuo C.-H."
The emerging fintech and financial slack on corporate financial performance,"Putri W.H., Nurwiyanta N., Sungkono S., Wahyuningsih T."
Analysis of the Influence of Consumer Behavior Using FinTech Services with SEM and TOPSIS,"Fernando E., Suryanto, Surjandy, Meyliana"
