Title,Authors
The general dynamic risk assessment for the enterprise by the hologram approach in financial technology,"Yuan, GXZ; Wang, HQ"
The role of legal acts of the Central Bank of the Russian Federation in ensuring bank security,"Pastushenko E.N., Zemtsova L.N."
Empirical study regarding non-financial disclosure for social conscious consumption in the Spanish e-credit market,"Herrador-Alcaide T., Hernández-Solís M."
Financial literacy and responsible finance in the FinTech era: capabilities and challenges,"Panos G.A., Wilson J.O.S."
"Fintech, financial inclusion and income inequality: a quantile regression approach","Demir A., Pesqué-Cela V., Altunbas Y., Murinde V."
Empirical Study Regarding Non-Financial Disclosure for Social Conscious Consumption in the Spanish E-Credit Market,"Herrador-Alcaide, T; Hernandez-Solis, M"
Financial inclusion research around the world: A review,Ozili P.K.
"Not-so-big and big credit data between traditional consumer finance, FinTechs, and the banking union: Old and new challenges in an enduring EU policy and legal conundrum",Ferretti F.
Bank concentration and SME financing availability: the impact of promotion of financial inclusion in China,"Lu Z., Wu J., Liu J."
Experimental legal regimes (Regulatory Sandboxes): Theoretical problems and implementation prospects in modern Russia,"Davydova M.L., Makarov V.O."
Does china need the regulatory sandbox? A preliminary analysis of its desirability as an appropriate mechanism for regulating fintech in China,Liao F.
Cross-Border Crowdfunding: Towards a Single Crowdlending and Crowdinvesting Market for Europe,"Zetzsche D., Preiner C."
Evolutionary Approaches and the Construction of Technology-Driven Regulations,"Yang D., Li M."
"The impact of the regulatory sandbox on the fintech industry, with a discussion on the relation between regulatory sandboxes and open innovation","Goo J.J., Heo J.-Y."
"Fintech and Financial Stability Potential Influence of FinTech on Financial Stability, Risks and Benefits",Vučinić M.
Privacy in financial information networks: Directions for the development of legal privacy-enhancing financial technologies,Ferrari V.
Industry 4.0 in finance: the impact of artificial intelligence (ai) on digital financial inclusion,Mhlanga D.
The ‘independence day’ of payments law? Fintech’s impact on financial regulation in Japan,Tokutsu A.
Fintech venture capital,"Cumming D.J., Schwienbacher A."
Singapore Approach to Develop and Regulate FinTech,Fan P.S.
FinTech: Harnessing Innovation for Financial Inclusion,"Salampasis D., Mention A.-L."
Funds sharing regulation in the context of the sharing economy: Understanding the logic of China's P2P lending regulation,"Yu T., Shen W."
International financial centres after the Global Financial Crisis and Brexit,"Cassis Y., Wójcik D."
Is Fin tech a disruption or a new eco-system? an exploratory investigation of banks response to fintech in Australia,"Oshodin O., Molla A., Karanasios S., Ong C.E."
Digital Debt Collection and Ecologies of Consumer Overindebtedness,Burton D.
Does the Marriage of Finance and Technology Disrupt Financial Stability? Empirical Evidence from the Introduction of FinTech Regulatory Sandboxes,"Fung, DWH; Lee, BWY; Yeh, JJH; Yuen, KFL"
Dialectic tensions in the financial markets: a longitudinal study of pre- and post-crisis regulatory technology,"Currie W.L., Gozman D.P., Seddon J.J.M."
‘Then you are making riskless money’: a critical discourse analysis of credit default swap coverage in the financial trade press,Forelle M.C.
Regulating FinTech in China: From Permissive to Balanced,"Zhou W., Arner D.W., Buckley R.P."
"Business and regulatory responses to artificial intelligence: Dynamic regulation, innovation ecosystems and the strategic management of disruptive technology","Fenwick M., Vermeulen E.P.M., Corrales M."
Fintech ecosystem the largest private cryptosystems [ЭКОСИСТЕМА ФИНТЕХА КРУПНЕЙШИЕ ЧАСТНЫЕ КРИПТОСИСТЕМЫ],"Zhukov S., Kopytin I., Maslennikov A."
"Strategic coupling between finance, technology and the state: Cultivating a Fintech ecosystem for incumbent finance","Hendrikse R., van Meeteren M., Bassens D."
In the shadow of banking: Oversight of fintechs and their service companies,Bunge D.
The Development and Regulation of Cryptoassets: Hong Kong Experiences and a Comparative Analysis,"Huang R.H., Yang D., Loo F.F.Y."
"The legal protection of sharia financial technology in Indonesia (Analysis of regulation, structure and law enforcement)","Nurhasanah, Rahmatullah I."
"Geography, ownership and uneven trends in the economic performance of small banking centres in Europe during the financial crisis","Blažek J., Hejnová T."
Money laundering with cryptocurrency: open doors and the regulatory dialectic,"Dupuis D., Gleason K."
Horizontal shareholding among fintech firms in Asia: A preliminary competition law assessment,Van Uytsel S.
Alliances in Financial Ecosystems: A Source of Organizational Legitimacy for Fintech Startups and Incumbents,"Svensson, C; Udesen, J; Webb, J"
Modeling a layered financial structure in a knowledge economy,Betz F.
